time,temp
2024-04-23 00:00:00,28.561882734298706
2024-04-23 01:00:00,28.300137758255005
2024-04-23 02:00:00,28.066365003585815
2024-04-23 03:00:00,27.881884813308716
2024-04-23 04:00:00,27.749757051467896
2024-04-23 05:00:00,27.839375019073486
2024-04-23 06:00:00,28.428751826286316
2024-04-23 07:00:00,29.788883924484253
2024-04-23 08:00:00,31.52910327911377
2024-04-23 09:00:00,33.381478667259216
2024-04-23 10:00:00,35.15128707885742
2024-04-23 11:00:00,36.544993996620185
2024-04-23 12:00:00,37.38221764564515
2024-04-23 13:00:00,37.63359642028809
2024-04-23 14:00:00,37.213904738426216
2024-04-23 15:00:00,36.15578937530518
2024-04-23 16:00:00,34.644198298454285
2024-04-23 17:00:00,32.77921545505524
2024-04-23 18:00:00,31.22324776649475
2024-04-23 19:00:00,30.270705223083496
2024-04-23 20:00:00,29.679804921150208
2024-04-23 21:00:00,29.310331165790558
2024-04-23 22:00:00,29.05962347984314
2024-04-23 23:00:00,28.828280806541443
2024-04-24 00:00:00,28.61241126060486
2024-04-24 01:00:00,28.419854402542114
2024-04-24 02:00:00,28.24499797821045
2024-04-24 03:00:00,28.085479497909546
2024-04-24 04:00:00,28.005545377731323
2024-04-24 05:00:00,28.291175425052643
2024-04-24 06:00:00,29.34032952785492
2024-04-24 07:00:00,30.92728853225708
2024-04-24 08:00:00,32.73382818698883
2024-04-24 09:00:00,34.58122754096985
2024-04-24 10:00:00,36.17912673950196
2024-04-24 11:00:00,37.307954788208015
2024-04-24 12:00:00,37.87530636787415
2024-04-24 13:00:00,37.82779049873353
2024-04-24 14:00:00,37.134460926055915
2024-04-24 15:00:00,35.843770146369934
2024-04-24 16:00:00,34.195913195610046
2024-04-24 17:00:00,32.34066462516785
2024-04-24 18:00:00,31.03211998939514
2024-04-24 19:00:00,30.218018054962158
2024-04-24 20:00:00,29.72306787967682
2024-04-24 21:00:00,29.37959599494934
2024-04-24 22:00:00,29.121628642082214
2024-04-24 23:00:00,28.89870274066925
2024-04-25 00:00:00,28.70023214817047
2024-04-25 01:00:00,28.522286891937256
2024-04-25 02:00:00,28.35652208328247
2024-04-25 03:00:00,28.208567678928375
2024-04-25 04:00:00,28.26832139492035
2024-04-25 05:00:00,28.925821483135223
2024-04-25 06:00:00,30.305443048477173
2024-04-25 07:00:00,31.970633506774902
2024-04-25 08:00:00,33.82818126678467
2024-04-25 09:00:00,35.58690571784973
2024-04-25 10:00:00,36.975740671157844
2024-04-25 11:00:00,37.85150122642518
2024-04-25 12:00:00,38.15515303611756
2024-04-25 13:00:00,37.82012259960175
2024-04-25 14:00:00,36.83982133865357
2024-04-25 15:00:00,35.3756206035614
2024-04-25 16:00:00,33.570751428604126
2024-04-25 17:00:00,31.915859580039978
2024-04-25 18:00:00,30.834159016609192
2024-04-25 19:00:00,30.154898166656494
2024-04-25 20:00:00,29.714688658714294
2024-04-25 21:00:00,29.405633807182312
2024-04-25 22:00:00,29.160624742507935
2024-04-25 23:00:00,28.948862195014954
2024-04-26 00:00:00,28.761513113975525
2024-04-26 01:00:00,28.591129541397095
2024-04-26 02:00:00,28.434435963630676
2024-04-26 03:00:00,28.354186415672302
2024-04-26 04:00:00,28.64678055047989
2024-04-26 05:00:00,29.678749203681946
2024-04-26 06:00:00,31.169498443603516
2024-04-26 07:00:00,32.93547773361206
2024-04-26 08:00:00,34.76262319087982
2024-04-26 09:00:00,36.376144647598274
2024-04-26 10:00:00,37.559743404388435
2024-04-26 11:00:00,38.20125806331635
2024-04-26 12:00:00,38.243114471435554
2024-04-26 13:00:00,37.63321018218995
2024-04-26 14:00:00,36.37671005725861
2024-04-26 15:00:00,34.737935066223145
2024-04-26 16:00:00,32.912270188331604
2024-04-26 17:00:00,31.507274389266968
2024-04-26 18:00:00,30.628278017044067
2024-04-26 19:00:00,30.06183087825775
2024-04-26 20:00:00,29.674410462379456
2024-04-26 21:00:00,29.39816063642502
2024-04-26 22:00:00,29.16964018344879
2024-04-26 23:00:00,28.969940066337585
2024-04-27 00:00:00,28.793721079826355
2024-04-27 01:00:00,28.628897190093994
2024-04-27 02:00:00,28.48105490207672
2024-04-27 03:00:00,28.539329648017883
2024-04-27 04:00:00,29.149301528930664
2024-04-27 05:00:00,30.43814265727997
2024-04-27 06:00:00,32.04981446266174
2024-04-27 07:00:00,33.86988425254822
2024-04-27 08:00:00,35.63050878047943
2024-04-27 09:00:00,37.06065726280213
2024-04-27 10:00:00,38.00342476367951
2024-04-27 11:00:00,38.388993382453926
2024-04-27 12:00:00,38.15274333953858
2024-04-27 13:00:00,37.25631153583527
2024-04-27 14:00:00,35.79539489746094
2024-04-27 15:00:00,34.01578998565674
2024-04-27 16:00:00,32.3528847694397
2024-04-27 17:00:00,31.192442059516907
2024-04-27 18:00:00,30.45913255214691
2024-04-27 19:00:00,29.963660955429077
2024-04-27 20:00:00,29.62438189983368
2024-04-27 21:00:00,29.374743342399597
2024-04-27 22:00:00,29.16072130203247
2024-04-27 23:00:00,28.971577286720276
2024-04-28 00:00:00,28.801308512687683
2024-04-28 01:00:00,28.644609570503235
2024-04-28 02:00:00,28.560314178466797
2024-04-28 03:00:00,28.81779444217682
2024-04-28 04:00:00,29.756072998046875
2024-04-28 05:00:00,31.17373526096344
2024-04-28 06:00:00,32.88632357120514
2024-04-28 07:00:00,34.701087951660156
2024-04-28 08:00:00,36.3462702035904
2024-04-28 09:00:00,37.5999540090561
2024-04-28 10:00:00,38.322189211845405
2024-04-28 11:00:00,38.4587426185608
2024-04-28 12:00:00,37.94241845607758
