time,humidity
2024-05-22 00:00:00,84.19146430492401
2024-05-22 01:00:00,84.14918142557144
2024-05-22 02:00:00,84.07694149017334
2024-05-22 03:00:00,83.97786194086075
2024-05-22 04:00:00,83.78009766340256
2024-05-22 05:00:00,83.19548267126083
2024-05-22 06:00:00,80.52983522415161
2024-05-22 07:00:00,75.4685692191124
2024-05-22 08:00:00,69.23350811004639
2024-05-22 09:00:00,63.48200422525406
2024-05-22 10:00:00,59.110647082328796
2024-05-22 11:00:00,56.37970608472824
2024-05-22 12:00:00,55.26316827535629
2024-05-22 13:00:00,55.6456800699234
2024-05-22 14:00:00,56.9675577878952
2024-05-22 15:00:00,58.741374135017395
2024-05-22 16:00:00,60.8292995095253
2024-05-22 17:00:00,63.42607533931732
2024-05-22 18:00:00,66.39867979288101
2024-05-22 19:00:00,69.36191135644913
2024-05-22 20:00:00,71.83434730768204
2024-05-22 21:00:00,73.79703623056412
2024-05-22 22:00:00,75.35337603092194
2024-05-22 23:00:00,76.6065918803215
2024-05-23 00:00:00,77.62554717063904
2024-05-23 01:00:00,78.46130955219269
2024-05-23 02:00:00,79.15586578845978
2024-05-23 03:00:00,79.7445153594017
2024-05-23 04:00:00,80.21741652488708
2024-05-23 05:00:00,80.43842178583145
2024-05-23 06:00:00,79.62184524536133
2024-05-23 07:00:00,75.76014876365662
2024-05-23 08:00:00,69.7904691696167
2024-05-23 09:00:00,63.39207136631012
2024-05-23 10:00:00,57.68494373559952
2024-05-23 11:00:00,53.16055226325989
2024-05-23 12:00:00,50.165928304195404
2024-05-23 13:00:00,49.02550792694092
2024-05-23 14:00:00,49.67346704006195
2024-05-23 15:00:00,51.43985170125961
2024-05-23 16:00:00,53.77922058105469
2024-05-23 17:00:00,56.443338096141815
2024-05-23 18:00:00,59.50366276502609
2024-05-23 19:00:00,62.9202436208725
2024-05-23 20:00:00,66.23280966281891
2024-05-23 21:00:00,68.85994148254395
2024-05-23 22:00:00,70.86516827344894
2024-05-23 23:00:00,72.40360128879547
2024-05-24 00:00:00,73.66735392808914
2024-05-24 01:00:00,74.74449187517166
2024-05-24 02:00:00,75.67307835817337
2024-05-24 03:00:00,76.47862458229065
2024-05-24 04:00:00,77.18574106693268
2024-05-24 05:00:00,77.76669573783875
2024-05-24 06:00:00,77.9996936917305
2024-05-24 07:00:00,76.04773896932602
2024-05-24 08:00:00,70.77485293149948
2024-05-24 09:00:00,63.96587812900543
2024-05-24 10:00:00,57.179749488830566
2024-05-24 11:00:00,51.28022879362106
2024-05-24 12:00:00,46.68998032808304
2024-05-24 13:00:00,43.78430217504501
2024-05-24 14:00:00,42.70724031329155
2024-05-24 15:00:00,43.37252014875412
2024-05-24 16:00:00,45.48457485437393
2024-05-24 17:00:00,48.45894777774811
2024-05-24 18:00:00,52.03681719303131
2024-05-24 19:00:00,56.520792961120605
2024-05-24 20:00:00,61.439750611782074
2024-05-24 21:00:00,65.02413457632065
2024-05-24 22:00:00,67.48728811740875
2024-05-24 23:00:00,69.28005176782608
2024-05-25 00:00:00,70.65414047241211
2024-05-25 01:00:00,71.80953526496887
2024-05-25 02:00:00,72.82835483551025
2024-05-25 03:00:00,73.7425879240036
2024-05-25 04:00:00,74.5677929520607
2024-05-25 05:00:00,75.30366146564484
2024-05-25 06:00:00,75.89807707071304
2024-05-25 07:00:00,75.96552568674088
2024-05-25 08:00:00,72.27277153730392
2024-05-25 09:00:00,65.34144330024719
2024-05-25 10:00:00,57.55691063404083
2024-05-25 11:00:00,50.57073104381561
2024-05-25 12:00:00,44.958195984363556
2024-05-25 13:00:00,40.93728992342949
2024-05-25 14:00:00,38.50905132293701
2024-05-25 15:00:00,37.608933091163635
2024-05-25 16:00:00,38.323978900909424
2024-05-25 17:00:00,40.65934610366821
2024-05-25 18:00:00,44.28353708982468
2024-05-25 19:00:00,49.51070201396942
2024-05-25 20:00:00,55.9943071603775
2024-05-25 21:00:00,61.52654957771301
2024-05-25 22:00:00,64.79512596130371
2024-05-25 23:00:00,66.87617486715317
2024-05-26 00:00:00,68.38845920562744
2024-05-26 01:00:00,69.57227289676666
2024-05-26 02:00:00,70.60904449224472
2024-05-26 03:00:00,71.56126266717911
2024-05-26 04:00:00,72.44866847991943
2024-05-26 05:00:00,73.27048051357269
2024-05-26 06:00:00,74.01005458831787
2024-05-26 07:00:00,74.54993551969528
2024-05-26 08:00:00,73.53486263751984
2024-05-26 09:00:00,67.53456795215607
2024-05-26 10:00:00,59.23769313097
2024-05-26 11:00:00,51.08561486005783
2024-05-26 12:00:00,44.35801845788956
2024-05-26 13:00:00,39.397316694259644
2024-05-26 14:00:00,36.16716134548187
2024-05-26 15:00:00,34.56330831348896
2024-05-26 16:00:00,34.54711653292179
2024-05-26 17:00:00,35.946631103754044
2024-05-26 18:00:00,38.80148220062256
2024-05-26 19:00:00,43.48848035931587
2024-05-26 20:00:00,50.52969431877136
2024-05-26 21:00:00,57.92458784580231
2024-05-26 22:00:00,62.56258088350296
2024-05-26 23:00:00,65.13390308618546
2024-05-27 00:00:00,66.8113254904747
2024-05-27 01:00:00,68.07170569896698
2024-05-27 02:00:00,69.11896061897278
2024-05-27 03:00:00,70.0848782658577
2024-05-27 04:00:00,71.00165712833405
2024-05-27 05:00:00,71.86891883611679
2024-05-27 06:00:00,72.67231822013855
2024-05-27 07:00:00,73.38172137737274
2024-05-27 08:00:00,73.6834305524826
2024-05-27 09:00:00,68.81282204389572
2024-05-27 10:00:00,60.49598407745361
2024-05-27 11:00:00,51.611269891262054
2024-05-27 12:00:00,44.005356788635254
